,Company,Industry,Classified Industry,Country
130,ASIA PULP AND PAPER,,Materials,Indonesia
131,Asia Select,,Professional Services,Philippines
132,"Asia Select, Inc.",Business Services,Professional Services,Philippines
133,Asia Technology Solutions,,Information Technology & Services,Indonesia
134,ASIACLOUD SOLUTIONS PRIVATE LIMITED,,Information Technology & Services,Singapore
135,Asian Development Bank,,"Banking, Finance & Insurance",Philippines
136,Asian Institute of Management,,Education,Philippines
137,Asian Institute of Management (AIM),,Education,Philippines
138,ASM Technology Singapore Pte Ltd,,Information Technology & Services,Singapore
139,Aspial Corporation Limited,,Information Technology & Services,Singapore
140,ASSA Rent,,"Transportation, Logistics & Automotive",Indonesia
141,ASTEK SINGAPORE INNOVATION TECHNOLOGY PTE. LTD.,Manufacturing,Materials,Singapore
142,Asticom Technology Inc,,Professional Services,Philippines
143,Astra Credit Companies (ACC),Financial Services,"Transportation, Logistics & Automotive",Indonesia
144,Astra Financial,Financial Services,"Transportation, Logistics & Automotive",Indonesia
145,AstraZeneca,,Health Care,Indonesia
146,Asuransi Astra,Insurance,"Banking, Finance & Insurance",Indonesia
147,Asurion Hong Kong Ltd. - ROHQ,,Information Technology & Services,Philippines
148,ASUS Global Pte Ltd,Computer/Information Technology (Hardware),Information Technology & Services,Singapore
149,ASUS GLOBAL PTE. LTD.,Information Technology,Information Technology & Services,Singapore
150,at HomeLight,,Real Estate,Philippines
151,Ateneo de Manila University,Higher Education / Academia,Education,Philippines
152,Athena E-Services,,Professional Services,Philippines
153,Atlas Copco (Philippines) Inc.,,Industrials & Capital Goods,Philippines
154,ATOMIT Corp.,,Professional Services,Philippines
155,Atreus Global,,Information Technology & Services,Indonesia
156,Attribute Data Pte. Ltd.,,Professional Services,Singapore
157,ATV International ROHQ - American Tire Depot,,"Transportation, Logistics & Automotive",Philippines
158,Auto2000,Automotive,"Transportation, Logistics & Automotive",Indonesia
159,"Autohub Group of Companies, Inc.",Automotive,"Transportation, Logistics & Automotive",Philippines
160,AUTOMATIC CONTROLS AND INSTRUMENTATION PTE. LTD.,,Professional Services,Singapore
161,AVALOQ Philippines Operating Headquarters,,Information Technology & Services,Philippines
162,Avensia Philippines Inc.,Information Technology / IT,Information Technology & Services,Philippines
163,Avensys Consulting Pte Ltd,,Professional Services,Singapore
164,AVISO,,Information Technology & Services,Philippines
165,Aviva,,"Banking, Finance & Insurance",Singapore
166,AVO Innovation Technology,Cosmetics,Consumer Retail,Indonesia
167,AXA Group Operations Malaysia Sdn Bhd,,"Banking, Finance & Insurance",Singapore
168,AXA Indonesia Life,,"Banking, Finance & Insurance",Indonesia
169,AXA Mandiri Financial Services,Insurance,"Banking, Finance & Insurance",Indonesia
170,AXINAN PTE. LTD.,,Information Technology & Services,Singapore
171,AZENDIAN SOLUTIONS PTE. LTD.,,Professional Services,Singapore
172,Azeus Group of Companies,,Information Technology & Services,Philippines
173,"B & M Global Services Manila, Inc.",,Consumer Retail,Philippines
174,BAIVI Outsourcing INC.,,Professional Services,Philippines
