,Company,Industry,Classified Industry,Country
873,Macquarie Group Limited,,Professional Services,Philippines
874,MAERSK SINGAPORE PTE. LTD.,,"Transportation, Logistics & Automotive",Singapore
875,Maha Chemicals,,Materials,Singapore
876,Mailtech Marketing Services - SSS Top Employer Awa...,,Professional Services,Philippines
877,MakatiSoft inc.,,Information Technology & Services,Philippines
878,Manila HealthTek,,Health Care,Philippines
879,Manila Recruitment,,Professional Services,Philippines
880,Manja Technologies Pte Ltd,,Information Technology & Services,Singapore
881,Mann+Hummel,,Conglomerates,Singapore
882,Manpower,,Professional Services,Singapore
883,Manpower Singapore,Business Services,Professional Services,Singapore
884,Manpower Staffing Services (S) Pte Ltd - Corporate,,Professional Services,Singapore
885,Manpower Staffing Services (S) Pte Ltd - IT Permanent,Human Resources Management / Consulting,Professional Services,Singapore
886,Manpower Staffing Services (S) Pte Ltd - SCS,Human Resources Management / Consulting,Professional Services,Singapore
887,ManpowerGroup Philippines,Business Services,Professional Services,Philippines
888,Manulife,,"Banking, Finance & Insurance",Philippines
889,Manulife Philippines,,Professional Services,Philippines
890,Marina Bay Sands,,Professional Services,Singapore
891,Marine Online Pte Ltd,,"Transportation, Logistics & Automotive",Singapore
892,Maritime Singapore Connect,,"Transportation, Logistics & Automotive",Singapore
893,MarkPlus,,Professional Services,Indonesia
894,"Marriott International, Inc",,Consumer Retail,Indonesia
895,Martelino Bacungan and Associates,Management Consulting,Professional Services,Philippines
896,Marvell,,Information Technology & Services,Singapore
897,Mason & Co Pte Ltd,,Information Technology & Services,Singapore
898,MasterCard,,Information Technology & Services,Singapore
899,Maxicare Healthcare Corporation,Sales and Marketing,Professional Services,Philippines
900,McKinsey & Company,,Professional Services,Singapore
901,mClinica,,Health Care,Indonesia
902,Medgate Philiippines,,Health Care,Philippines
903,MedGrocer,Hospital / Health Care,Health Care,Philippines
904,Mediacorp Pte Ltd,Media,Telecommunications & Media,Singapore
905,Medion Group,Veterinary,Professional Services,Indonesia
906,Medkismet Inc.,,Professional Services,Philippines
907,MedMonitor Philippines,,Health Care,Philippines
908,Medtronic,,Health Care,Philippines
909,Mega Global Corporation,Consumer Goods,Consumer Retail,Philippines
910,"MegaXcess IT Solutions, Inc.",,Information Technology & Services,Philippines
911,Mekari (PT. Mid Solusi Nusantara),,Information Technology & Services,Indonesia
912,MERALCO,,Utilities,Philippines
913,Merck KGaA,,Health Care,Philippines
914,"MERCOLA CONSULTING SERVICES, LLC",Information Technology / IT,Information Technology & Services,Philippines
915,MERCURICS PTE. LTD.,,Information Technology & Services,Singapore
916,Metro Combined Logistics Solutions,,"Transportation, Logistics & Automotive",Philippines
917,Mezzo Hotel,Hospitality,Real Estate,Philippines
918,MFT Group of Companies,Financial Holdings Company,"Banking, Finance & Insurance",Philippines
919,MGM Propertindo,Real Estate / Mortgage,Consumer Retail,Indonesia
920,Mi-C3 International,Information Technology,Information Technology & Services,Philippines
921,MICHAEL PAGE INTERNATIONAL PTE LTD,Business Services,Professional Services,Singapore
922,MICHAEL PAGE INTERNATIONAL RECRUITMENT (PHILIPPINES) INC.,,Professional Services,Philippines
923,Microchip Technology,,Information Technology & Services,Philippines
924,Micron,,Information Technology & Services,Singapore
925,MICRON SEMICONDUCTOR ASIA OPERATIONS PTE LTD,Semiconductor/Wafer Fabrication,Information Technology & Services,Singapore
926,Micron Technology,Information Technology,Information Technology & Services,Singapore
927,Microsoft,,Information Technology & Services,Singapore
928,MicroSourcing,,Professional Services,Philippines
929,Mikolas Corporation,,Consumer Retail,Philippines
930,Millennium Management LLC,,Conglomerates,Singapore
931,Ministry of Defence,Government,Government,Singapore
932,Ministry of Defence - DXO,Government,Government,Singapore
933,Ministry of Foreign Affairs,,Government,Singapore
934,Ministry of Health,Health Care,Health Care,Singapore
935,Ministry of National Development,Government,Government,Singapore
936,Ministry of Trade and Industry,Government,Government,Singapore
937,Ministry of Trade And Industry (MTI),,Government,Singapore
938,MIRXES LAB PTE. LTD.,,Health Care,Singapore
939,"MISNet, Inc.",,Information Technology & Services,Philippines
940,Mitra Integrasi Informatika,,Information Technology & Services,Indonesia
941,Mitrais,,Information Technology & Services,Indonesia
942,Mitramas Infosys Global,Information Technology / IT,Information Technology & Services,Indonesia
943,Mitraplus,,Materials,Indonesia
944,MLResearch Consultants,,Information Technology & Services,Singapore
945,MNC,,Professional Services,Indonesia
946,Mobile Phones and Accessories Retail Industry,,Consumer Retail,Philippines
947,Modena Indonesia,,Consumer Retail,Indonesia
948,Monde Nissin Corporation,Fast Moving Consumer Goods,Consumer Retail,Philippines
949,Mondelez International,,Consumer Retail,Singapore
950,Monetary Authority of Singapore (MAS),Banking / Financial Services,"Banking, Finance & Insurance",Singapore
951,MONEYSMART SINGAPORE PTE. LTD.,,Information Technology & Services,Singapore
952,Monroe Consulting Group,,Professional Services,Indonesia
953,Monster Group,,Information Technology & Services,Indonesia
954,Moody's Corporation,,"Banking, Finance & Insurance",Singapore
955,Morgan McKinley,,Professional Services,Singapore
956,Morpheus Consulting Pte Ltd,,Information Technology & Services,Singapore
957,Morrigan Services PT,,Professional Services,Indonesia
958,Motional,Manufacturing,Industrials & Capital Goods,Singapore
959,Motortrade Nationwide Corporation,,"Transportation, Logistics & Automotive",Philippines
960,Mozat,,Information Technology & Services,Singapore
961,MRM (MCcann),,Professional Services,Philippines
962,MRMJ Earth Movers Corporation,,Industrials & Capital Goods,Philippines
963,MSD,,Health Care,Singapore
964,MSI-ECS Philippines,,Information Technology & Services,Philippines
965,MTS GLOBAL PTE. LTD.,,"Transportation, Logistics & Automotive",Singapore
966,Multipolar Technology Group,,Information Technology & Services,Indonesia
967,MUNICH MANAGEMENT PTE. LTD.,,Professional Services,Singapore
968,Munich Re,,"Banking, Finance & Insurance",Singapore
969,MY SCENT PTE. LTD.,,Professional Services,Singapore
970,Nanoninth Inc,,Professional Services,Philippines
971,Nanyang Technological University,,Education,Singapore
972,"Nasdaq, Inc.",,"Banking, Finance & Insurance",Philippines
973,National Data and Surveying Services Inc,,Government,Philippines
974,National Debt Education Relief,,"Banking, Finance & Insurance",Philippines
975,National Environment Agency,,Government,Singapore
976,National University Health System,,Health Care,Singapore
977,National University of Singapore,,Education,Singapore
978,National Youth Council,,Government,Singapore
979,NAUTILUS LABS PTE. LTD.,,"Transportation, Logistics & Automotive",Singapore
980,Navtech Pte Ltd,,Information Technology & Services,Singapore
981,NCS Pte Ltd,,Information Technology & Services,Singapore
982,ndigital (PT. Capital Digital Creative),Information Technology / IT,Information Technology & Services,Indonesia
983,Nearsol,,Professional Services,Philippines
984,NEEURO PTE. LTD.,,Information Technology & Services,Philippines
985,NeksJob Philippines,,Professional Services,Philippines
986,Nestle,,Consumer Retail,Philippines
987,Netdoc IT Solution,,Information Technology & Services,Philippines
988,NETVIRTA SINGAPORE PTE. LTD.,Information Technology,Information Technology & Services,Singapore
989,Network Guard,,Information Technology & Services,Singapore
990,Neural Technologies,,Information Technology & Services,Indonesia
991,NEURONCREDIT PTE. LTD.,,"Banking, Finance & Insurance",Singapore
992,Neurosensum,,Professional Services,Indonesia
993,New Tone Consulting Pte Ltd,,Professional Services,Singapore
994,NEW TREND LIFESTYLE PTE. LTD.,,Professional Services,Singapore
995,"Newcore Industries International, Inc",Architecture and Engineering,Professional Services,Philippines
996,NextWave Partners,Business Services,Professional Services,Singapore
997,"Nezda Technologies, Inc.",,Professional Services,Philippines
998,Ng Teng Fong General Hospital,,Health Care,Singapore
999,Niagahoster,Information Technology / IT,Information Technology & Services,Indonesia
1000,NICE inContact,,Information Technology & Services,Philippines
1001,Ninja Van,,"Transportation, Logistics & Automotive",Philippines
1002,Ninja Van Tech,Logistics,"Transportation, Logistics & Automotive",Indonesia
1003,Ninja Xpress,,"Transportation, Logistics & Automotive",Indonesia
1004,NIOMETRICS (PTE.) LTD.,,Information Technology & Services,Singapore
1005,NIPPON EXPRESS (SOUTH ASIA & OCEANIA) PTE. LTD.,,"Transportation, Logistics & Automotive",Singapore
1006,NIPSEA MANAGEMENT COMPANY PTE. LTD.,,Materials,Singapore
1007,Nityo Infotech Services Philippines Inc.,,Information Technology & Services,Philippines
1008,Nixplay,,Consumer Retail,Philippines
1009,NMG Consulting,,"Banking, Finance & Insurance",Singapore
1010,No Deviation Pte Ltd,,Health Care,Singapore
1011,NOBILITY PLACEMENT SERVICES PTE. LTD.,,Information Technology & Services,Singapore
1012,Nomura Holdings,Finance,"Banking, Finance & Insurance",Indonesia
1013,NOMURA SINGAPORE LIMITED,Finance,"Banking, Finance & Insurance",Singapore
1014,Nordic Semiconductor,,Information Technology & Services,Philippines
1015,Not Pot,Retail,Consumer Retail,Philippines
1016,NOVADE SOLUTIONS PTE. LTD.,,Information Technology & Services,Singapore
1017,"Novare Technologies, Inc.",,Information Technology & Services,Philippines
1018,NSW Nokia Software,,Information Technology & Services,Indonesia
1019,NTT,,Information Technology & Services,Singapore
1020,NTT America Inc.,,Information Technology & Services,Singapore
1021,NTT Communications ICT Solutions,,Information Technology & Services,Singapore
1022,NTT Data Singapore Pte. Ltd.,,Information Technology & Services,Singapore
1023,NTT INDONESIA DIGITAL BUSINESS SOLUTIONS,,Information Technology & Services,Indonesia
1024,NTT MSC,,Information Technology & Services,Singapore
1025,NTT Singapore Digital Talent Services Pte. Ltd,Information Technology,Information Technology & Services,Singapore
1026,NTUC ENTERPRISE NEXUS CO-OPERATIVE LIMITED,Business Services,Professional Services,Singapore
1027,NTUC FAIRPRICE CO-OPERATIVE LTD,,Consumer Retail,Singapore
1028,NTUC Income Insurance Co-Operative,Insurance,"Banking, Finance & Insurance",Singapore
1029,NTUC INCOME INSURANCE CO-OPERATIVE LTD,,"Banking, Finance & Insurance",Singapore
1030,NUS Institute Of Systems Science,,Education,Singapore
1031,NUS Saw Swee Hock School of Public Health,,Health Care,Singapore
1032,Nutech Integrasi,,Information Technology & Services,Indonesia
1033,NVIDIA,Information Technology,Information Technology & Services,Singapore
1034,NXP Semiconductors,Manufacturing,Industrials & Capital Goods,Philippines
1035,Oak Drive Ventures Inc.,,Conglomerates,Philippines
1036,Oasis Powerhouse Philippines Corp.,,Energy,Philippines
1037,OBSERVATIONAL AND PRAGMATIC RESEARCH INSTITUTE PTE...,,Professional Services,Singapore
1038,OCBC Bank,,"Banking, Finance & Insurance",Singapore
1039,OCBC Bank (Singapore),Banking / Financial Services,"Banking, Finance & Insurance",Singapore
1040,Ocean Network Express Pte Ltd,,"Transportation, Logistics & Automotive",Singapore
1041,ODeX,,Information Technology & Services,Indonesia
1042,Office Productivity Solution Pte Ltd.,,Professional Services,Singapore
1043,Offshore Intelligence,,Professional Services,Philippines
1044,OILSERVE PHILIPPINES CORPORATION,,Energy,Philippines
1045,Olam Group,,Professional Services,Indonesia
1046,Omgeo LLC,Finance,"Banking, Finance & Insurance",Philippines
1047,OMNISTREAM PTE. LTD.,,Information Technology & Services,Singapore
1048,One Depot,,Information Technology & Services,Philippines
1049,ONE VOGUE PTE. LTD.,,Professional Services,Singapore
1050,Onyx Singapore,,Professional Services,Singapore
1051,"Open iT, Inc.",,Information Technology & Services,Philippines
1052,Operations,,Unknown,Philippines
1053,"OPSolutions PH, Inc.",,Information Technology & Services,Philippines
1054,OptimizeX,,Information Technology & Services,Philippines
1055,Optimum Solutions (S) Pte Ltd,,Information Technology & Services,Singapore
1056,Optimum Source Inc.,,Professional Services,Philippines
1057,"Optum Global Solutions, Inc.",,Professional Services,Philippines
1058,ORANGEAPPS INC,,Information Technology & Services,Philippines
1059,Ortigas & Company,,Conglomerates,Philippines
1060,Ortigas Land Corporation,,Real Estate,Philippines
1061,Oscar M. Lopez Center for Climate Change Adaptatio...,,Energy,Philippines
1062,OSIM INTERNATIONAL PTE. LTD.,,Consumer Retail,Singapore
1063,OTO Group,,"Banking, Finance & Insurance",Indonesia
1064,Otten Coffee,,Information Technology & Services,Indonesia
1065,OttoDigital,,"Banking, Finance & Insurance",Indonesia
1066,OVERSEA-CHINESE BANKING CORPORATION LIMITED,,"Banking, Finance & Insurance",Singapore
1067,OVO (PT Visionet Internasional),,Information Technology & Services,Indonesia
1068,Oxfam GB,,Energy,Indonesia
1069,OY! Indonesia,,Information Technology & Services,Indonesia
1070,Pacific Investment Management Company LLC,,Consumer Retail,Singapore
1071,Pag-Asa Steel,,Materials,Philippines
1072,Page Personnel,,Professional Services,Singapore
1073,PALO IT SINGAPORE PTE. LTD.,,Information Technology & Services,Singapore
1074,Pan Asia Resources PH Inc.,,Professional Services,Philippines
1075,Pan Brothers,,Consumer Retail,Indonesia
1076,Panasonic Asia Pacific Pte Ltd,Electrical & Electronics,Information Technology & Services,Singapore
1077,Pan-United Corporation Ltd,,Consumer Retail,Singapore
1078,paper.id,,Information Technology & Services,Indonesia
1079,PARCEL PERFORM PTE. LTD.,,Information Technology & Services,Singapore
1080,Parrish & Co.,,Professional Services,Indonesia
1081,PasarPolis.com,Insurance,"Banking, Finance & Insurance",Indonesia
1082,"Pascal Resources Energy, Inc.",,Utilities,Philippines
1083,PASIA and TransProcure Shared Services,,Professional Services,Philippines
1084,Patra Government Relations,,Government,Indonesia
1085,Paxful,Financial Services,"Banking, Finance & Insurance",Philippines
1086,PayOk,Financial Services,"Banking, Finance & Insurance",Indonesia
1087,PayPal,,Information Technology & Services,Philippines
1088,PAYPAL PTE. LTD.,,Information Technology & Services,Singapore
1089,PCCW SOLUTIONS SINGAPORE PTE. LTD.,,Information Technology & Services,Singapore
1090,PCS Indonesia,Information Technology / IT,Information Technology & Services,Indonesia
1091,PEITRILIAM BLAC CORPORATION,Oil / Energy / Solar / Greentech,Energy,Philippines
1092,Penbrothers,Consulting/Business Services,Professional Services,Philippines
1093,PENSEES PTE. LTD.,,Information Technology & Services,Singapore
1094,People Profilers Pte Ltd,Business Services,Professional Services,Singapore
1095,Peoplebank Singapore Pte Ltd,,"Banking, Finance & Insurance",Singapore
1096,Pepper,Business Services,Professional Services,Singapore
1097,PERCEPT SOLUTIONS PTE. LTD.,,Information Technology & Services,Singapore
1098,"Perfetti Van Melle Phils., Inc.",Consumer Goods,Consumer Retail,Philippines
1099,Permata Bank,Banking / Mortgage,"Banking, Finance & Insurance",Indonesia
1100,Permitindo,Management Consulting,Professional Services,Indonesia
1101,Pernod Ricard,,Consumer Retail,Singapore
1102,PERRC CONSTRUCTION AND DEVELOPMENT,,Industrials & Capital Goods,Philippines
1103,PERSOL Singapore,,Industrials & Capital Goods,Singapore
1104,"Personal Collection Direct Selling, Inc.",Consumer Goods,Consumer Retail,Philippines
1105,Perx Technologies Pte. Ltd.,Information Technology,Information Technology & Services,Singapore
1106,PetroSea,,Materials,Indonesia
1107,Pfizer,,Health Care,Philippines
1108,Philam Life - An AIA Group Company,Financial Services,"Banking, Finance & Insurance",Philippines
1109,Philam Life Genesis (Tan Unit),Financial Services,"Banking, Finance & Insurance",Philippines
1110,"Phil-Data Business Systems, Inc.",,Information Technology & Services,Philippines
1111,Philip Morris International,,Consumer Retail,Philippines
1112,Philip Securities Pte Ltd.,,Information Technology & Services,Singapore
1113,"Philippine Iron Construction & Marine Works, Inc",,Materials,Philippines
1114,Philippine Nuclear Research Institute - Government,,Government,Philippines
1115,Information Technology & Services,Information Technology & Services,Information Technology & Services,Information Technology & Services
1116,Philippine Seven Corporation,,Consumer Retail,Philippines
1117,PhilSurv,,Professional Services,Philippines
1118,Pinkerton,,Professional Services,Singapore
1119,Pinnacle Investment,,Conglomerates,Indonesia
1120,Pinpoint Asia Limited,,Professional Services,Singapore
1121,Pixium Digital Pte Ltd,,Information Technology & Services,Singapore
1122,PJ Lhuillier Group of Companies,Financial Services,"Banking, Finance & Insurance",Philippines
1123,PLATTS,,Energy,Philippines
1124,PLDT Global (Phils.) Corporation,,Telecommunications & Media,Philippines
1125,Point Blue,Commercial Real Estate,Real Estate,Philippines
1126,Point72,Finance,"Banking, Finance & Insurance",Singapore
1127,POINT72 ASIA (SINGAPORE) PTE. LTD.,,"Banking, Finance & Insurance",Singapore
1128,PolyOne,,Materials,Singapore
1129,Polystar Instruments,,Telecommunications & Media,Singapore
1130,Power Factors,,Energy,Philippines
1131,PRESTIGE BIOPHARMA LIMITED,,Health Care,Singapore
1132,PricewaterhouseCoopers,,Information Technology & Services,Singapore
1133,PRICEWATERHOUSECOOPERS RISK SERVICES PTE. LTD.,Accounting & Legal,Professional Services,Singapore
1134,Prime Manpower (A ManpowerGroup Affiliate),,Professional Services,Philippines
1135,Prime Manpower Resources Development Inc,,Professional Services,Philippines
1136,PrimeAnalytiq Corp.,,Information Technology & Services,Philippines
1137,Princesa Lavanda Travel Agency Incorporated,Travel/Tourism,Consumer Retail,Philippines
1138,Process Engineering Specialists (PES),,Health Care,Singapore
1139,Procter & Gamble,,Consumer Retail,Singapore
1140,Proficio,Information Technology,Information Technology & Services,Singapore
1141,"Profitmaster BPO, Inc.",,Professional Services,Philippines
1142,Propelrr,Digital Marketing Company,Professional Services,Philippines
1143,Prosource Global BPO,,Professional Services,Philippines
1144,ProSource Global Outsourcing,Business Process Outsourcing,Professional Services,Philippines
1145,"ProView Global Administration, Inc.",Business Process Outsourcing,Professional Services,Philippines
1146,Pru Life UK Ortigas Branch,Financial and Insurance Services,"Banking, Finance & Insurance",Philippines
1147,Prudential,,"Banking, Finance & Insurance",Indonesia
1148,PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMIT...,,"Banking, Finance & Insurance",Singapore
1149,Prudential Singapore,,"Banking, Finance & Insurance",Singapore
1150,PSB (Pioneer Square Brands) Technology Services Inc.,Business Process Outsourcing,Professional Services,Philippines
1151,PT Accenture,,Information Technology & Services,Indonesia
1152,PT Adicipta Inovasi Teknologi,,Information Technology & Services,Indonesia
1153,PT Agate International,,Information Technology & Services,Indonesia
1154,PT Airmas International,,Consumer Retail,Indonesia
1155,PT Akar Inti Teknologi,,Information Technology & Services,Indonesia
1156,PT Akasha Wira International Tbk,,Consumer Retail,Indonesia
1157,PT Ako Media Asia,,Telecommunications & Media,Indonesia
1158,PT Akseleran Keuangan Inklusif Indonesia,,"Banking, Finance & Insurance",Indonesia
1159,PT Amazon Data Srvcs Indonesia,,Information Technology & Services,Indonesia
1160,PT Amazon Web Services IDN,,Information Technology & Services,Indonesia
1161,PT Amber Media Sosial,,Professional Services,Indonesia
1162,PT Anabatic Digital Raya,Information Technology / IT,Information Technology & Services,Indonesia
1163,PT Anugrah Indo Mandiri,,Consumer Retail,Indonesia
1164,PT Anugrah Visi Inti Teknologi,,Information Technology & Services,Indonesia
1165,PT Ara Savis Sejahtera,,Consumer Retail,Indonesia
1166,PT Artha Solutions Indonesia,,Information Technology & Services,Indonesia
1167,PT Arwic Technologi Solusindo,,Information Technology & Services,Indonesia
1168,PT Asahimas Flat Glass Tbk,Glass / Ceramics / Concrete,Industrials & Capital Goods,Indonesia
1169,PT Asian Sigma Teknologi,,Information Technology & Services,Indonesia
1170,PT Asiatek Solusi Indonesia,,Information Technology & Services,Indonesia
1171,PT Astra Graphia Information Technology,,Information Technology & Services,Indonesia
1172,PT Asuransi Allianz Life Indonesia,Insurance,"Banking, Finance & Insurance",Indonesia
1173,PT Asuransi MSIG Indonesia,,"Banking, Finance & Insurance",Indonesia
1174,PT Bank BTPN Tbk,Banking / Mortgage,"Banking, Finance & Insurance",Indonesia
1175,PT Bank Central Asia Tbk,Financial Services,"Banking, Finance & Insurance",Indonesia
1176,PT Bank CIMB Niaga Tbk,,"Banking, Finance & Insurance",Indonesia
1177,PT Bank Mandiri (Persero) Tbk.,,"Banking, Finance & Insurance",Indonesia
1178,PT Bank Mizuho Indonesia,,"Banking, Finance & Insurance",Indonesia
1179,"PT Bank OCBC NISP, Tbk",Banking,"Banking, Finance & Insurance",Indonesia
1180,"PT Bank Permata, Tbk",,"Banking, Finance & Insurance",Indonesia
1181,PT Bank Tabungan Pensiunan Nasional Syariah Tbk,,"Banking, Finance & Insurance",Indonesia
1182,PT Bayer Indonesia,,Materials,Indonesia
1183,PT BCA Finance,Financial Services,"Banking, Finance & Insurance",Indonesia
1184,PT Berlian Sistem Informasi,,Information Technology & Services,Indonesia
1185,PT BFI Finance Indonesia Tbk,,"Banking, Finance & Insurance",Indonesia
1186,PT Big Fish Hunter,,Professional Services,Indonesia
1187,PT Bina Karya Prima,Consumer Goods,Consumer Retail,Indonesia
1188,PT Blue Gas Indonesia,,Energy,Indonesia
1189,PT Bukalapak.com,,Information Technology & Services,Indonesia
1190,PT Bumi Amartha Teknologi Mandiri,,Information Technology & Services,Indonesia
1191,PT Bungasari Flour Mills Indonesia,,Consumer Retail,Indonesia
1192,PT Bussan Auto Finance (BAF),,"Banking, Finance & Insurance",Indonesia
1193,PT Citra Sandang Sukses,,Consumer Retail,Indonesia
1194,PT Commeasure Solutions Indonesia (Reddoorz),,Consumer Retail,Indonesia
1195,PT Coway International Indonesia,,Consumer Retail,Indonesia
1196,PT CS2 Pola Sehat,,Consumer Retail,Indonesia
1197,PT Cyberquote Indonesia,,Information Technology & Services,Indonesia
1198,PT Digdaya Duta Digital,,Information Technology & Services,Indonesia
1199,PT Dua Empat Tujuh,,Information Technology & Services,Indonesia
1200,PT Duta Intiguna Yasa (MR DIY),,Consumer Retail,Indonesia
1201,PT Electronic Data Interchange Indonesia,,Information Technology & Services,Indonesia
1202,PT Everbright,,"Banking, Finance & Insurance",Indonesia
1203,PT Evotech Distribusi,,Information Technology & Services,Indonesia
1204,PT Fonterra Brands Indonesia,,Consumer Retail,Indonesia
1205,PT GANENDRA PARAKA SATRIA,,Professional Services,Indonesia
1206,PT GLOBAL LOYALTY INDONESIA,,Professional Services,Indonesia
1207,PT Global Urban Esensial,Health / Fitness,Health Care,Indonesia
1208,PT Good Doctor Technology Indonesia,,Health Care,Indonesia
1209,PT Graha Technosoft Informatika,,Information Technology & Services,Indonesia
1210,PT HEBRONSTAR INDONESIA,,Professional Services,Indonesia
1211,PT Hijau Abadi Lestari,,Materials,Indonesia
1212,PT Hokinda Citralestari,,Industrials & Capital Goods,Indonesia
1213,PT I D X Partners,,Information Technology & Services,Indonesia
1214,PT IDcommerce Service Solution,,"Transportation, Logistics & Automotive",Indonesia
1215,PT IDStar Cipta Teknologi,Information Technology / IT,Information Technology & Services,Indonesia
1216,PT Ikan Dorang,,Consumer Retail,Indonesia
1217,PT Indmira,,Energy,Indonesia
1218,PT Indocyber Global Teknologi,,Information Technology & Services,Indonesia
1219,PT InMotion Inovasi Teknologi,Information Technology / IT,Information Technology & Services,Indonesia
1220,PT Intrias Mandiri Sejati,,Health Care,Indonesia
1221,PT JAC Indonesia,,Professional Services,Indonesia
1222,PT Jobstreet Indonesia,,Professional Services,Indonesia
1223,PT Juke Solusi Teknologi,,Information Technology & Services,Indonesia
1224,PT Kadence International,,Professional Services,Indonesia
1225,PT Kamoro Maxima Integra,,Information Technology & Services,Indonesia
1226,PT Karang Mas Sejahtera,,Real Estate,Indonesia
1227,PT Katadata Indonesia,,Information Technology & Services,Indonesia
1228,PT Khazanah Prima Sukses,,Professional Services,Indonesia
1229,PT Klik Teknologi Indonesia,,Information Technology & Services,Indonesia
1230,PT Kokoh Inti Arebama Tbk (Group of SCG Indonesia),,Conglomerates,Indonesia
1231,PT KPN Corp.,,Telecommunications & Media,Indonesia
1232,PT Lawencon Internasional,,Information Technology & Services,Indonesia
1233,PT Main Games Indonesia (Jakarta),,Information Technology & Services,Indonesia
1234,PT Majoo Teknologi Indonesia,Financial Services,"Banking, Finance & Insurance",Indonesia
1235,PT Matahari Department Store Tbk,,Consumer Retail,Indonesia
1236,PT Media Wave Interaktif,,Professional Services,Indonesia
1237,PT Mega Central Finance,,"Banking, Finance & Insurance",Indonesia
1238,PT Megaxus Infotech,,Information Technology & Services,Indonesia
1239,PT Merah Cipta Media,,Information Technology & Services,Indonesia
1240,PT Metrodata Electronics Tbk,,Information Technology & Services,Indonesia
1241,PT Mettler Toledo Indonesia,,Industrials & Capital Goods,Indonesia
1242,PT Michael Page Internasional Indonesia,,Professional Services,Indonesia
1243,PT Mitra Solusi Telematika,,Information Technology & Services,Indonesia
1244,PT Nityo Infotech,,Professional Services,Indonesia
1245,PT Nomura Research Institute Indonesia,,Information Technology & Services,Indonesia
1246,PT NTT Indonesia Digital Business Solutions,,Information Technology & Services,Indonesia
1247,PT Organik Sehat Alami,,Consumer Retail,Indonesia
1248,PT Payfazz Teknologi Nusantara,Financial Services,"Banking, Finance & Insurance",Indonesia
1249,PT PEFINDO Biro Kredit,,"Banking, Finance & Insurance",Indonesia
1250,PT People Intelligence Indonesia,,Professional Services,Indonesia
1251,PT Perindustrian Bapak Djenggot (Orang Tua Group),,Professional Services,Indonesia
1252,PT Petrosea Tbk,,Materials,Indonesia
1253,PT Philips Industries Batam,,Industrials & Capital Goods,Indonesia
1254,PT Phintraco Technology,,Information Technology & Services,Indonesia
1255,PT Popbox Asia Services,,"Transportation, Logistics & Automotive",Indonesia
1256,PT Porto Indonesia Sejahtera,,Consumer Retail,Indonesia
1257,PT Pricebook Digital Indonesia,Internet,Information Technology & Services,Indonesia
1258,PT Prudential Life Assurance,,"Banking, Finance & Insurance",Indonesia
1259,PT Pupuk Indonesia,,Materials,Indonesia
1260,PT Reckitt Benckiser Indonesia,,Information Technology & Services,Indonesia
1261,PT Reeracoen Indonesia,,Professional Services,Indonesia
1262,PT Rifan Financindo Berjangka,Financial Services,"Banking, Finance & Insurance",Indonesia
1263,PT Sentra Aktiva Indonesia,,Professional Services,Indonesia
1264,PT Septagon Telematika Indonesia,,Information Technology & Services,Indonesia
1265,PT Simian Technologies,,Information Technology & Services,Indonesia
1266,PT Sinar Mas Digital Ventures,,Information Technology & Services,Indonesia
1267,PT Sinar Media Teknologi,,Professional Services,Indonesia
1268,PT Smartfren Telecom Tbk,,Telecommunications & Media,Indonesia
1269,PT Social Bella Indonesia,,Professional Services,Indonesia
1270,PT Softex Indonesia,,Information Technology & Services,Indonesia
1271,PT Solusi Tunas Pratama Tbk,,Telecommunications & Media,Indonesia
1272,PT Sumberdaya Andalan Mandiri,,Professional Services,Indonesia
1273,PT Summitra Solusindo,,Information Technology & Services,Indonesia
1274,PT Takadeli Indonesia,,Professional Services,Indonesia
1275,PT Telemarketing Indonesia (Teleperformance Indone...,,Professional Services,Indonesia
1276,PT THE CLOTHES,,Consumer Retail,Indonesia
1277,PT Tirta Utama Abadi,,Consumer Retail,Indonesia
1278,PT Triputra Agro Persada,,Consumer Retail,Indonesia
1279,PT Victoria Care Indonesia,,Consumer Retail,Indonesia
1280,PT Visi Care Indonesia,,Health Care,Indonesia
1281,PT VLink Consulting Indonesia,,Professional Services,Indonesia
1282,PT Xsis Mitra Utama,,Information Technology & Services,Indonesia
1283,PT&T,,Telecommunications & Media,Philippines
1284,PT. ABeam LightStream Analytics Indonesia,,Information Technology & Services,Indonesia
1285,PT. Abinaya Madani Adyatama,Telecommunications,Telecommunications & Media,Indonesia
1286,PT. Bank Mega Tbk.,Banking / Mortgage,"Banking, Finance & Insurance",Indonesia
1287,PT. Berca Hardayaperkasa,,Information Technology & Services,Indonesia
1288,"PT. BFI Finance Indonesia, Tbk",,"Banking, Finance & Insurance",Indonesia
1289,"PT. Central Proteina Prima, Tbk",,Consumer Retail,Indonesia
1290,PT. DKSH Smollan Field Marketing (DSFM),,"Transportation, Logistics & Automotive",Indonesia
1291,PT. Elabram Systems,,Professional Services,Indonesia
1292,PT. HARIFF DAYA TUNGGAL ENGINEERING,,Telecommunications & Media,Indonesia
1293,PT. Hexaon Business Mitrasindo,,Professional Services,Indonesia
1294,PT. HTC Global Software Services,,Information Technology & Services,Indonesia
1295,PT. IDcommerce Service Solution,,"Transportation, Logistics & Automotive",Indonesia
1296,PT. Indocyber Global Technology,,Information Technology & Services,Indonesia
